No.,Nama Sungai,Lokasi/ Koordinat,Periode/ Tanggal,TSS,DO,BOD,COD,Fosfat,Fecal Coli,Total-Coliform,TSS.1,DO.1,BOD.1,COD.1,Fosfat.1,Fecal Coli.1,Total-Coliform.1,TSS.2,DO.2,BOD.2,COD.2,Fosfat.2,Fecal Coli.2,Total-Coliform.2,TSS.3,DO.3,BOD.3,COD.3,Fosfat.3,Fecal Coli.3,Total-Coliform.3,(Ci/Lij)R,(Ci/Lij)M,(Ci/Lij)R2,(Ci/Lij)M2,Pij,Status Mutu Air
25,Cibaligo Hulu,E 107´33.329´ S 06´53.876´,2019-07-16,71.0,2.63,31.0,67.0,0.25,6488000,21430000.0,50,4,3,25,0.2,1000,5000,1.42,0.3641666666666667,10.333333333333334,2.68,1.25,6488.0,,1.7614417219152823,0.3641666666666667,6.0712021955730515,3.1406739701439443,1.25,6488.0,0.0,928.6553549363283,6488.0,862400.7682519179,42094144.0,4634.4657064354205,berat
26,Cibaligo Tengah,E 107´33.108' S 06´54.523´,2019-07-15,44.0,2.84,29.0,100.0,0.21,10462000,12997000.0,50,4,3,25,0.2,1000,5000,0.88,0.3466666666666667,9.666666666666666,4.0,1.0499999999999998,10462.0,,0.7224133607508432,0.3466666666666667,5.926383715896468,4.0102999566398125,1.0499999999999998,10462.0,0.0,1496.293680528565,10462.0,2238894.778389719,109453444.0,7473.029465296846,berat
27,Cibaligo Hilir,"E 107° 32' 630"" S 06° 55' 270"" ",2019-07-08,79.0,1.0,64.0,280.0,0.77,43600000,72700000.0,50,4,3,25,0.2,1000,5000,1.58,0.5,21.333333333333332,11.2,3.85,43600.0,,1.9932854347721132,0.5,7.645293596321124,6.246090113350908,3.85,43600.0,0.0,6231.462095592064,43600.0,38831119.84880064,1900960000.0,31143.14627529467,berat
28,Cibeureum Hulu,"E 107° 34' 130"" S 06° 54' 622""",2019-07-09,156.0,5.35,29.0,41.0,0.16,1860000,11870000.0,50,4,3,25,0.2,1000,5000,3.12,0.13750000000000004,9.666666666666666,1.64,0.7999999999999999,1860.0,,3.470772970092214,0.13750000000000004,5.926383715896468,2.0742192402384894,0.7999999999999999,1860.0,0.0,267.4869822751753,1860.0,71549.28568667996,3459600.0,1328.749277645463,berat
29,Cibeureum Tengah,E 107´33.923´ S 06´55.164´,2019-07-08,70.0,3.74,22.0,83.0,0.16,2282000,7701000.0,50,4,3,25,0.2,1000,5000,1.4,0.27166666666666667,7.333333333333333,3.32,0.7999999999999999,2282.0,,1.73064017839119,0.27166666666666667,5.326507130512719,3.6056904185201812,0.7999999999999999,2282.0,0.0,327.6763577705844,2282.0,107371.79544179601,5207524.0,1630.1680581218914,berat
30,Cibeureum Hilir,E 107´32.714´ S 06´55.918´,2019-07-08,182.0,2.97,51.0,178.0,0.41,840000,24196000.0,50,4,3,25,0.2,1000,5000,3.64,0.33583333333333326,17.0,7.12,2.05,840.0,,3.80550691824528,0.33583333333333326,7.15224460689137,5.2623999681842815,2.05,840.0,0.0,122.6579978323792,840.0,15044.984432247938,705600.0,600.2686833544825,berat
31,Cimahi Hulu, E 107´33.618´ S 06´51.309´,2019-11-07,36.0,7.69,5.0,15.0,0.16,74000,630000.0,50,4,3,25,0.2,1000,5000,0.72,-0.05750000000000003,1.6666666666666667,0.6,0.7999999999999999,74.0,,0.28666248215634216,2.4193317423673433,1.6666666666666667,0.6,0.7999999999999999,74.0,0.0,11.396094413027194,74.0,129.87096787062964,5476.0,52.942756671100106,berat
32,Cimahi Tengah,"E 107° 32' 466"" S 06´53.606´ ",2019-11-05,35.0,5.0,9.0,31.0,0.19,816000,4570000.0,50,4,3,25,0.2,1000,5000,0.7,0.16666666666666666,3.0,1.24,0.95,816.0,,0.22549020007128406,0.16666666666666666,3.385606273598312,1.4671084258111753,0.95,816.0,0.0,117.45641022373535,816.0,13796.008302646402,665856.0,582.9459701819056,berat
33,Cimahi Hilir," E 107° 32' 304"" S 06° 55' 203"" ",2019-11-05,20.0,1.0,37.0,138.0,0.3,13140000,29090000.0,50,4,3,25,0.2,1000,5000,0.4,0.5,12.333333333333334,5.52,1.4999999999999998,13140.0,,-0.9897000433601879,0.5,6.455402346736663,4.7096953886459945,1.4999999999999998,13140.0,0.0,1878.8821996702889,13140.0,3530198.3202378633,172659600.0,9385.88829893681,berat
34,Cisangkan Hulu,E 107´32.181´ S 06´52.223´,2019-11-07,26.0,3.46,53.0,113.0,0.2,100,1000.0,50,4,3,25,0.2,1000,5000,0.52,0.295,17.666666666666668,4.52,1.0,0.1,,-0.4199832818260041,0.295,7.235773074405633,4.2756921740569105,1.0,0.1,0.0,1.7837831380909341,7.235773074405633,3.1818822837375405,52.356411984293544,5.269643928579572,sedang
